year,technology_group,observed_generation_pj,baseline_generation_pj,candidate_generation_pj,baseline_error_pj,candidate_error_pj,observed_share_percent,baseline_share_percent,candidate_share_percent,observed_capacity_gw,candidate_total_capacity_gw,candidate_new_capacity_gw
2021,hydro,33.066,19.075799999999987,19.075799999999987,-13.990200000000016,-13.990200000000016,8.655703717664798,5.113963550965912,5.13120540476855,3.752,3.7793,0.0
2021,geothermal,36.0576,42.563599999999994,42.56369999999999,6.505999999999993,6.506099999999989,9.438816378457334,11.410724530446577,11.44922296768404,1.928,1.9281,0.0
2021,solar,5.292,5.827600000000002,5.827600000000002,0.5356000000000023,0.5356000000000023,1.3852895443622484,1.5623006107009394,1.5675679456080078,1.317,1.0193,0.0
2021,wind,4.572,3.0691999999999995,3.0691999999999995,-1.5028000000000006,-1.5028000000000006,1.1968147764218067,0.8228109400719542,0.8255850673793833,0.427,0.4429,0.0
2022,coal,239.148,224.7164999999999,273.39070000000004,-14.431500000000085,34.24270000000004,59.56992718533664,57.03742415874073,70.1654873638797,12.428,13.498099999999999,2.0
2022,gas,64.3824,31.871099999999995,45.71000000000002,-32.511300000000006,-18.672399999999982,16.03716058682162,8.089505884550722,11.73143207652251,3.732,3.4525,0.0
2022,oil,9.0684,0.0,0.0,-9.0684,-9.0684,2.258868682520894,0.0,0.0,3.834,4.2366,0.0
2022,biomass,4.7592,0.0,0.0,-4.7592,-4.7592,1.1854801104774202,0.0,0.0,0.611,0.4474,0.0
2022,hydro,36.306,19.075799999999987,19.075799999999987,-17.23020000000001,-17.23020000000001,9.043545320850818,4.841809550110055,4.8957876177057065,3.745,3.7793,0.0
2022,geothermal,37.53,65.43679999999996,42.5637,27.90679999999996,5.033699999999996,9.348434305391153,16.609134252227513,10.923936895110062,1.952,1.9281,0.0
2022,solar,6.5592,49.811400000000006,5.827600000000002,43.25220000000001,-0.7315999999999976,1.6338462642132068,12.6431034202682,1.4956485138731694,1.53,1.0193,0.0
2022,wind,3.708,3.0691999999999995,3.0691999999999995,-0.6388000000000007,-0.6388000000000007,0.9236342766957207,0.7790227341027787,0.7877075329088354,0.427,0.4429,0.0
2023,coal,265.5144,274.89759999999995,323.6204000000001,9.383199999999931,58.10600000000005,62.501271143351076,66.3064523326254,79.35912473089856,12.406,13.498099999999999,0.0
2023,gas,60.0048,12.991000000000001,24.331399999999995,-47.0138,-35.67340000000001,14.124944917121454,3.1334836035423255,5.9666158483129745,3.732,3.4525,0.0
2023,oil,4.6944,0.0,0.0,-4.6944,-4.6944,1.10504728653266,0.0,0.0,3.737,4.2366,0.0
2023,biomass,5.0724,0.0,0.0,-5.0724,-5.0724,1.194027321107759,0.0,0.0,0.585,0.4474,0.0
2023,hydro,37.0332,19.075799999999987,19.075799999999987,-17.957400000000014,-17.957400000000014,8.717501101657572,4.601162845389319,4.677822509154779,3.799,3.7793,0.0
2023,geothermal,38.628,54.741499999999974,31.8679,16.113499999999974,-6.760100000000001,9.092912104674419,13.203879045747987,7.8147380418904415,1.952,1.4436,0.0
2023,solar,9.1584,49.811400000000006,5.827600000000002,40.653000000000006,-3.330799999999998,2.155859123419545,12.014718279538773,1.4290608233652282,1.653,1.0193,0.0
2023,wind,4.7088,3.0691999999999995,3.0691999999999995,-1.6396000000000006,-1.6396000000000006,1.108437002135521,0.7403038931561929,0.7526380463780211,0.427,0.4429,0.0
2024,coal,285.6924,308.3174999999999,360.35930000000013,22.62509999999986,74.66690000000011,62.51644464751342,70.874914141168,84.56097478559354,13.006,12.8963,0.0
2024,gas,64.9692,0.001,5.9535,-64.9682,-59.0157,14.216840894588826,0.00022987639086710304,1.3970328041652622,3.732,3.4525,0.0
2024,oil,4.8312,0.0,0.0,-4.8312,-4.8312,1.0571840461316675,0.0,0.0,3.448,4.2366,0.0
2024,biomass,5.2056,0.0,0.0,-5.2056,-5.2056,1.139111870869144,0.0,0.0,0.595,0.4474,0.0
2024,hydro,39.2724,19.075799999999987,19.075799999999987,-20.19660000000001,-20.19660000000001,8.59375615443395,4.3850760569026805,4.476277545258367,3.836,3.7793,0.0
2024,geothermal,38.8404,54.74149999999999,31.8678,15.901099999999985,-6.9726000000000035,8.499224048967632,12.583778450651517,7.478014948614721,1.952,1.4436,0.0
2024,solar,13.7196,49.811400000000006,5.827600000000002,36.091800000000006,-7.891999999999998,3.002182116101181,11.450464856037616,1.3674894380706282,2.71,1.0193,0.0
2024,wind,4.4604,3.0691999999999995,3.0691999999999995,-1.3912000000000004,-1.3912000000000004,0.9760439889397436,0.7055366188493124,0.7202104782974758,0.427,0.4429,0.0
