cluster_id,cluster,mode,crop,water_regime,inherited_input_label,v30_status,activity_upper,yield_2020,inherited_yield_2021,v30_yield_2021,inherited_yield_2025,v30_yield_2025,v30_yield_2050,after_2020_rule
TEC_9lvqs,LNDAGRPHLC02,4,maize,rainfed,high,active_observed_cost_system,99999,0.43389554029225025,0.44101844985023975,0.44189938209399215,0.45669182319717455,0.47391474930095995,0.6564314472599552,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,5,vegetables,irrigated,high,active_observed_cost_system,99999,1.6212147343756875,1.6212147343756875,1.637739440871059,1.6374268817194444,1.7038382668525454,2.055900357835104,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,6,sugarcane,irrigated,high,active_observed_cost_system,99999,12.023327706504357,12.297484373935214,12.122166346523999,9.170561092957936,12.517520906602565,14.11125673473083,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,7,maize,irrigated,low,inactive_unsupported_pair,1e-06,0.15694094010570758,0.1595173116479591,0.1595173116479591,0.16518640413514826,0.16518640413514826,0.21184032980476125,inactive
TEC_9lvqs,LNDAGRPHLC02,8,coconut,rainfed,high,active_observed_cost_system,99999,0.20081032151304767,0.20419208443723502,0.20248198457497052,0.1984875388585649,0.20916863682266193,0.24011595786301593,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,9,sugarcane,irrigated,low,inactive_unsupported_pair,1e-06,3.8256042702513855,3.9128359371612036,3.9128359371612036,2.9179058023047966,2.9179058023047966,3.7420157593221033,inactive
TEC_9lvqs,LNDAGRPHLC02,10,maize,irrigated,high,active_observed_cost_system,99999,0.43389554029225025,0.44101844985023975,0.44189938209399215,0.45669182319717455,0.47391474930095995,0.6564314472599552,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,11,rice_rain,rainfed,high,active_observed_cost_system,99999,0.515120968866792,0.5287667042264889,0.5207051579049271,0.5371043246931592,0.5430419140574673,0.6489286188099048,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,12,vegetables,rainfed,low,inactive_unsupported_pair,1e-06,0.157353194807052,0.157353194807052,0.157353194807052,0.15892672675512254,0.15892672675512254,0.2038127192541306,inactive
TEC_9lvqs,LNDAGRPHLC02,13,vegetables,irrigated,low,inactive_unsupported_pair,1e-06,0.157353194807052,0.157353194807052,0.157353194807052,0.15892672675512254,0.15892672675512254,0.2038127192541306,inactive
TEC_9lvqs,LNDAGRPHLC02,14,rice_rain,rainfed,low,inactive_unsupported_pair,1e-06,0.128780242216698,0.13219167605662221,0.13219167605662221,0.1342760811732898,0.1342760811732898,0.17219994266215805,inactive
TEC_9lvqs,LNDAGRPHLC02,15,maize,rainfed,low,inactive_unsupported_pair,1e-06,0.14770912009948947,0.15013394037454972,0.15013394037454972,0.15546955683308072,0.15546955683308072,0.19937913393389292,inactive
TEC_9lvqs,LNDAGRPHLC02,16,coconut,irrigated,high,active_observed_cost_system,99999,0.20081032151304767,0.20419208443723502,0.20248198457497052,0.1984875388585649,0.20916863682266193,0.24011595786301593,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,17,rice_irrig,irrigated,low,inactive_unsupported_pair,1e-06,0.2695584882108619,0.2724563411620216,0.2724563411620216,0.2694055208129054,0.2694055208129054,0.3454942595247512,inactive
TEC_9lvqs,LNDAGRPHLC02,18,sugarcane,rainfed,low,inactive_unsupported_pair,1e-06,3.8256042702513855,3.9128359371612036,3.9128359371612036,2.9179058023047966,2.9179058023047966,3.7420157593221033,inactive
TEC_9lvqs,LNDAGRPHLC02,19,rice_irrig,irrigated,high,active_observed_cost_system,99999,1.149170397109464,1.161524401795987,1.1620584860656251,1.1485182729392283,1.21361084189027,1.4638764876410322,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,20,coconut,rainfed,low,inactive_unsupported_pair,1e-06,0.023427870843188897,0.023822409851010754,0.023822409851010754,0.023156879533499243,0.023156879533499243,0.029697123218519188,inactive
TEC_9lvqs,LNDAGRPHLC02,21,other,irrigated,low,inactive_unsupported_pair,1e-06,0.45197689290397286,0.45197689290397286,0.45197689290397286,0.45649666183301263,0.45649666183301263,0.585425924753218,inactive
TEC_9lvqs,LNDAGRPHLC02,22,other,irrigated,high,active_observed_cost_system,99999,1.2112980729826472,1.2112980729826472,1.2233744175726817,1.2234110537124738,1.2716797959328199,1.4706635167487596,FAO_BAU_2050_rebased_to_2020
TEC_9lvqs,LNDAGRPHLC02,23,other,rainfed,low,inactive_unsupported_pair,1e-06,0.45197689290397286,0.45197689290397286,0.45197689290397286,0.45649666183301263,0.45649666183301263,0.585425924753218,inactive
TEC_9lvqs,LNDAGRPHLC02,24,other,rainfed,high,active_observed_cost_system,99999,1.2112980729826472,1.2112980729826472,1.2233744175726817,1.2234110537124738,1.2716797959328199,1.4706635167487596,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,1,vegetables,rainfed,high,active_observed_cost_system,99999,1.3351180165446839,1.3351180165446839,1.3487328800059895,1.3484691967101308,1.4031923338512113,1.6932200315919568,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,2,coconut,irrigated,low,inactive_unsupported_pair,1e-06,0.21754451497246835,0.22120809147367132,0.22120809147367132,0.2150281670967787,0.2150281670967787,0.27575900131482106,inactive
TEC_3mwof,LNDAGRPHLC03,3,sugarcane,rainfed,high,active_observed_cost_system,99999,8.853541311153208,9.055420311715931,8.921927648769914,6.752867713905388,9.195472999236724,10.238114389722204,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,4,maize,rainfed,high,active_observed_cost_system,99999,0.4523591803046865,0.4597851923970585,0.4607036111192685,0.4761255178013097,0.49408133437759666,0.684364700334847,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,5,vegetables,irrigated,high,active_observed_cost_system,99999,1.382800802849851,1.382800802849851,1.3968954054488445,1.3966288108783496,1.453273815844818,1.753562069918177,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,6,sugarcane,irrigated,high,active_observed_cost_system,99999,8.853541311153208,9.055420311715931,8.926322491531307,6.752867713905388,9.217447213043707,10.391016322847248,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,7,maize,irrigated,low,inactive_unsupported_pair,1e-06,0.17540458011814375,0.1782840541947778,0.1782840541947778,0.18462009873928334,0.18462009873928334,0.23676272154649786,inactive
TEC_3mwof,LNDAGRPHLC03,8,coconut,rainfed,high,active_observed_cost_system,99999,0.7530387056739289,0.7657203166396315,0.7593074421561395,0.7443282707196185,0.7843823880849824,0.90043484198631,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,9,sugarcane,irrigated,low,inactive_unsupported_pair,1e-06,2.9511804370510695,3.0184734372386437,3.0184734372386437,2.2509559046351293,2.2509559046351293,2.8866978714770517,inactive
TEC_3mwof,LNDAGRPHLC03,10,maize,irrigated,high,active_observed_cost_system,99999,0.4615910003109046,0.4691685636704679,0.4701057256319066,0.48584236510337725,0.5041646269159149,0.6983313268722928,FAO_BAU_2050_rebased_to_2020
