REGION,FUEL,YEAR,VALUE
GLOBAL,CRPMZE,2030,9.276731778653243
GLOBAL,CRPMZE,2031,9.379828510111277
GLOBAL,CRPMZE,2032,9.48292524156931
GLOBAL,CRPMZE,2033,9.586021973027346
GLOBAL,CRPMZE,2034,9.68911870448538
GLOBAL,CRPMZE,2035,9.792215435943415
GLOBAL,CRPMZE,2036,9.885403771275527
GLOBAL,CRPMZE,2037,9.978592106607637
GLOBAL,CRPMZE,2038,10.071780441939747
GLOBAL,CRPMZE,2039,10.164968777271858
GLOBAL,CRPMZE,2040,10.25815711260397
GLOBAL,CRPMZE,2041,10.341044993361338
GLOBAL,CRPMZE,2042,10.423932874118707
GLOBAL,CRPMZE,2043,10.506820754876076
GLOBAL,CRPMZE,2044,10.589708635633444
GLOBAL,CRPMZE,2045,10.672596516390813
GLOBAL,CRPMZE,2046,10.743969996938135
GLOBAL,CRPMZE,2047,10.815343477485458
GLOBAL,CRPMZE,2048,10.886716958032782
GLOBAL,CRPMZE,2049,10.958090438580102
GLOBAL,CRPMZE,2050,11.029463919127425
GLOBAL,CRPMZE,2051,11.029463919127425
GLOBAL,CRPMZE,2052,11.029463919127425
GLOBAL,CRPMZE,2053,11.029463919127425
GLOBAL,CRPOTH,2020,10.099485119999999
GLOBAL,CRPOTH,2021,10.248954842177687
GLOBAL,CRPOTH,2022,10.398424564355377
GLOBAL,CRPOTH,2023,10.547894286533063
GLOBAL,CRPOTH,2024,10.697364008710752
GLOBAL,CRPOTH,2025,10.846833730888441
GLOBAL,CRPOTH,2026,10.985521061033582
GLOBAL,CRPOTH,2027,11.124208391178723
GLOBAL,CRPOTH,2028,11.262895721323863
GLOBAL,CRPOTH,2029,11.401583051469006
GLOBAL,CRPOTH,2030,11.540270381614146
GLOBAL,CRPOTH,2031,11.668522893907772
GLOBAL,CRPOTH,2032,11.796775406201395
GLOBAL,CRPOTH,2033,11.92502791849502
GLOBAL,CRPOTH,2034,12.053280430788645
GLOBAL,CRPOTH,2035,12.18153294308227
GLOBAL,CRPOTH,2036,12.297459393453481
GLOBAL,CRPOTH,2037,12.413385843824694
GLOBAL,CRPOTH,2038,12.529312294195904
GLOBAL,CRPOTH,2039,12.645238744567115
GLOBAL,CRPOTH,2040,12.761165194938327
GLOBAL,CRPOTH,2041,12.864277861998524
GLOBAL,CRPOTH,2042,12.967390529058722
GLOBAL,CRPOTH,2043,13.070503196118919
GLOBAL,CRPOTH,2044,13.173615863179117
GLOBAL,CRPOTH,2045,13.276728530239314
GLOBAL,CRPOTH,2046,13.365517263518026
GLOBAL,CRPOTH,2047,13.454305996796736
GLOBAL,CRPOTH,2048,13.543094730075447
GLOBAL,CRPOTH,2049,13.631883463354157
GLOBAL,CRPOTH,2050,13.720672196632867
GLOBAL,CRPOTH,2051,13.720672196632867
GLOBAL,CRPOTH,2052,13.720672196632867
GLOBAL,CRPOTH,2053,13.720672196632867
GLOBAL,CRPRCP,2020,19.29485551
GLOBAL,CRPRCP,2021,19.5804142942619
GLOBAL,CRPRCP,2022,19.8659730785238
GLOBAL,CRPRCP,2023,20.1515318627857
GLOBAL,CRPRCP,2024,20.437090647047597
GLOBAL,CRPRCP,2025,20.7226494313095
GLOBAL,CRPRCP,2026,20.98760868065964
GLOBAL,CRPRCP,2027,21.252567930009786
GLOBAL,CRPRCP,2028,21.51752717935993
GLOBAL,CRPRCP,2029,21.78248642871008
GLOBAL,CRPRCP,2030,22.047445678060225
GLOBAL,CRPRCP,2031,22.292469425716384
GLOBAL,CRPRCP,2032,22.537493173372535
GLOBAL,CRPRCP,2033,22.782516921028694
GLOBAL,CRPRCP,2034,23.02754066868485
GLOBAL,CRPRCP,2035,23.27256441634101
GLOBAL,CRPRCP,2036,23.49403947998264
GLOBAL,CRPRCP,2037,23.71551454362427
GLOBAL,CRPRCP,2038,23.9369896072659
GLOBAL,CRPRCP,2039,24.158464670907534
GLOBAL,CRPRCP,2040,24.379939734549165
GLOBAL,CRPRCP,2041,24.57693433264381
GLOBAL,CRPRCP,2042,24.773928930738453
GLOBAL,CRPRCP,2043,24.9709235288331
GLOBAL,CRPRCP,2044,25.167918126927745
GLOBAL,CRPRCP,2045,25.364912725022393
GLOBAL,CRPRCP,2046,25.53454174661836
GLOBAL,CRPRCP,2047,25.70417076821433
GLOBAL,CRPRCP,2048,25.873799789810302
GLOBAL,CRPRCP,2049,26.043428811406265
GLOBAL,CRPRCP,2050,26.213057833002235
GLOBAL,CRPRCP,2051,26.213057833002235
GLOBAL,CRPRCP,2052,26.213057833002235
GLOBAL,CRPRCP,2053,26.213057833002235
GLOBAL,CRPSGC,2020,24.39894125
GLOBAL,CRPSGC,2021,24.760039160114772
GLOBAL,CRPSGC,2022,25.121137070229548
GLOBAL,CRPSGC,2023,25.482234980344316
GLOBAL,CRPSGC,2024,25.843332890459088
GLOBAL,CRPSGC,2025,26.204430800573864
GLOBAL,CRPSGC,2026,26.53947996200385
GLOBAL,CRPSGC,2027,26.874529123433838
GLOBAL,CRPSGC,2028,27.209578284863824
GLOBAL,CRPSGC,2029,27.54462744629382
GLOBAL,CRPSGC,2030,27.879676607723805
GLOBAL,CRPSGC,2031,28.18951671099999
GLOBAL,CRPSGC,2032,28.499356814276165
GLOBAL,CRPSGC,2033,28.80919691755235
GLOBAL,CRPSGC,2034,29.119037020828532
GLOBAL,CRPSGC,2035,29.428877124104712
GLOBAL,CRPSGC,2036,29.70893918848926
GLOBAL,CRPSGC,2037,29.98900125287381
GLOBAL,CRPSGC,2038,30.269063317258357
GLOBAL,CRPSGC,2039,30.549125381642902
GLOBAL,CRPSGC,2040,30.82918744602745
GLOBAL,CRPSGC,2041,31.078293204968613
GLOBAL,CRPSGC,2042,31.327398963909776
GLOBAL,CRPSGC,2043,31.576504722850938
GLOBAL,CRPSGC,2044,31.8256104817921
GLOBAL,CRPSGC,2045,32.07471624073326
GLOBAL,CRPSGC,2046,32.28921738224583
GLOBAL,CRPSGC,2047,32.503718523758394
GLOBAL,CRPSGC,2048,32.718219665270965
GLOBAL,CRPSGC,2049,32.93272080678353
GLOBAL,CRPSGC,2050,33.14722194829609
GLOBAL,CRPSGC,2051,33.14722194829609
GLOBAL,CRPSGC,2052,33.14722194829609
GLOBAL,CRPSGC,2053,33.14722194829609
GLOBAL,CRPTOM,2020,5.49826559
GLOBAL,CRPTOM,2021,5.579638473907615
GLOBAL,CRPTOM,2022,5.66101135781523
GLOBAL,CRPTOM,2023,5.742384241722845
GLOBAL,CRPTOM,2024,5.8237571256304586
GLOBAL,CRPTOM,2025,5.905130009538074
GLOBAL,CRPTOM,2026,5.980632846172384
GLOBAL,CRPTOM,2027,6.056135682806692
GLOBAL,CRPTOM,2028,6.131638519441002
GLOBAL,CRPTOM,2029,6.207141356075312
GLOBAL,CRPTOM,2030,6.282644192709621
GLOBAL,CRPTOM,2031,6.35246620509901
GLOBAL,CRPTOM,2032,6.422288217488399
GLOBAL,CRPTOM,2033,6.492110229877788
GLOBAL,CRPTOM,2034,6.5619322422671775
GLOBAL,CRPTOM,2035,6.631754254656566
GLOBAL,CRPTOM,2036,6.694865829699599
GLOBAL,CRPTOM,2037,6.757977404742632
GLOBAL,CRPTOM,2038,6.821088979785665
GLOBAL,CRPTOM,2039,6.8842005548286975
GLOBAL,CRPTOM,2040,6.94731212987173
GLOBAL,CRPTOM,2041,7.003447746930812
GLOBAL,CRPTOM,2042,7.059583363989893
GLOBAL,CRPTOM,2043,7.115718981048975
GLOBAL,CRPTOM,2044,7.171854598108056
GLOBAL,CRPTOM,2045,7.227990215167138
GLOBAL,CRPTOM,2046,7.276327732492578
GLOBAL,CRPTOM,2047,7.324665249818017
GLOBAL,CRPTOM,2048,7.373002767143459
GLOBAL,CRPTOM,2049,7.421340284468897
GLOBAL,CRPTOM,2050,7.469677801794337
GLOBAL,CRPTOM,2051,7.469677801794337
GLOBAL,CRPTOM,2052,7.469677801794337
GLOBAL,CRPTOM,2053,7.469677801794337
