REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2040,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2040,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2041,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2041,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2042,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2042,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2043,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2043,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2044,S2D2,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2044,S2D2,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2045,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2045,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2046,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2046,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2047,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2047,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2048,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2048,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2049,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2049,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2050,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2050,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2051,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2051,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2052,S2D1,87.716004
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2052,S2D1,36.548335
GLOBAL,LNDAGRPHLC01,WTRPRCPHL,27,2053,S2D1,87.716004
