REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,RNWWONPHLXX,1,2028,1.2502245
GLOBAL,RNWWONPHLXX,1,2029,1.2502245
GLOBAL,RNWWONPHLXX,1,2030,1.2502245
GLOBAL,RNWWONPHLXX,1,2031,1.2502245
GLOBAL,RNWWONPHLXX,1,2032,1.2502245
GLOBAL,RNWWONPHLXX,1,2033,1.2502245
GLOBAL,RNWWONPHLXX,1,2034,1.2502245
GLOBAL,RNWWONPHLXX,1,2035,1.2502245
GLOBAL,RNWWONPHLXX,1,2036,1.2502245
GLOBAL,RNWWONPHLXX,1,2037,1.2502245
GLOBAL,RNWWONPHLXX,1,2038,1.2502245
GLOBAL,RNWWONPHLXX,1,2039,1.2502245
GLOBAL,MINLNDTOT,1,2020,295.8132
GLOBAL,MINLNDTOT,1,2021,295.8132
GLOBAL,MINLNDTOT,1,2022,295.8132
GLOBAL,MINLNDTOT,1,2023,295.8132
GLOBAL,MINLNDTOT,1,2024,295.8132
GLOBAL,MINLNDTOT,1,2025,295.8132
GLOBAL,MINLNDTOT,1,2026,295.8132
GLOBAL,MINLNDTOT,1,2027,295.8132
GLOBAL,MINLNDTOT,1,2028,295.8132
GLOBAL,MINLNDTOT,1,2029,295.8132
GLOBAL,MINLNDTOT,1,2030,295.8132
GLOBAL,MINLNDTOT,1,2031,295.8132
GLOBAL,MINLNDTOT,1,2032,295.8132
GLOBAL,MINLNDTOT,1,2033,295.8132
GLOBAL,MINLNDTOT,1,2034,295.8132
GLOBAL,MINLNDTOT,1,2035,295.8132
GLOBAL,MINLNDTOT,1,2036,295.8132
GLOBAL,MINLNDTOT,1,2037,295.8132
GLOBAL,MINLNDTOT,1,2038,295.8132
GLOBAL,MINLNDTOT,1,2039,295.8132
GLOBAL,MINLNDTOT,1,2040,295.8132
GLOBAL,MINLNDTOT,1,2041,295.8132
GLOBAL,MINLNDTOT,1,2042,295.8132
GLOBAL,MINLNDTOT,1,2043,295.8132
GLOBAL,MINLNDTOT,1,2044,295.8132
GLOBAL,MINLNDTOT,1,2045,295.8132
GLOBAL,MINLNDTOT,1,2046,295.8132
GLOBAL,MINLNDTOT,1,2047,295.8132
GLOBAL,MINLNDTOT,1,2048,295.8132
GLOBAL,MINLNDTOT,1,2049,295.8132
GLOBAL,MINLNDTOT,1,2050,295.8132
GLOBAL,MINLNDTOT,1,2051,295.8132
GLOBAL,MINLNDTOT,1,2052,295.8132
GLOBAL,MINLNDTOT,1,2053,295.8132
GLOBAL,DEMAGRSURPHL,1,2020,2.7609161
GLOBAL,DEMAGRSURPHL,1,2021,2.7609161
GLOBAL,DEMAGRSURPHL,1,2022,2.7609161
GLOBAL,DEMAGRSURPHL,1,2023,2.7609161
GLOBAL,DEMAGRSURPHL,1,2024,2.7609161
GLOBAL,DEMAGRSURPHL,1,2025,2.7609161
GLOBAL,DEMAGRSURPHL,1,2026,2.7609161
GLOBAL,DEMAGRSURPHL,1,2027,2.7609161
GLOBAL,DEMAGRSURPHL,1,2028,2.7233084
GLOBAL,DEMAGRSURPHL,1,2029,2.6856973
GLOBAL,DEMAGRSURPHL,1,2030,2.6480896
GLOBAL,DEMAGRSURPHL,1,2031,2.6133089
GLOBAL,DEMAGRSURPHL,1,2032,2.5785281
GLOBAL,DEMAGRSURPHL,1,2033,2.5437508
GLOBAL,DEMAGRSURPHL,1,2034,2.5089701
GLOBAL,DEMAGRSURPHL,1,2035,2.082584
GLOBAL,DEMAGRSURPHL,1,2036,2.082584
GLOBAL,DEMAGRSURPHL,1,2037,2.082584
GLOBAL,DEMAGRSURPHL,1,2038,2.082584
GLOBAL,DEMAGRSURPHL,1,2039,2.082584
GLOBAL,DEMAGRSURPHL,1,2040,2.082584
GLOBAL,DEMAGRSURPHL,1,2041,2.082584
GLOBAL,DEMAGRSURPHL,1,2042,2.082584
GLOBAL,DEMAGRSURPHL,1,2043,2.0546178
GLOBAL,DEMAGRSURPHL,1,2044,2.0266515
GLOBAL,DEMAGRSURPHL,1,2045,1.9986853
GLOBAL,DEMAGRSURPHL,1,2046,1.9745985
GLOBAL,DEMAGRSURPHL,1,2047,1.9505455
