run,region,year,mode,account,commodity,unit,reference_available,terminal_counted,unaccounted_gap,coverage_percent,status
Base_v12,RE1,2034,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,264.11690000000027,0.0,264.11690000000027,0.0,ZERO
Base_v12,RE1,2035,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,385.1285999999996,0.0,385.1285999999996,0.0,ZERO
Base_v12,RE1,2035,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.77039999999999,0.0,20.77039999999999,0.0,ZERO
Base_v12,RE1,2035,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,262.6453000000002,0.0,262.6453000000002,0.0,ZERO
Base_v12,RE1,2036,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,383.9909999999999,0.0,383.9909999999999,0.0,ZERO
Base_v12,RE1,2036,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.8032,0.0,20.8032,0.0,ZERO
Base_v12,RE1,2036,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,261.15430000000015,0.0,261.15430000000015,0.0,ZERO
Base_v12,RE1,2037,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,382.85249999999996,0.0,382.85249999999996,0.0,ZERO
Base_v12,RE1,2037,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.838399999999965,0.0,20.838399999999965,0.0,ZERO
Base_v12,RE1,2037,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,259.17229999999984,0.0,259.17229999999984,0.0,ZERO
Base_v12,RE1,2038,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,381.7162999999999,0.0,381.7162999999999,0.0,ZERO
Base_v12,RE1,2038,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.8683,0.0,20.8683,0.0,ZERO
Base_v12,RE1,2038,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,257.10220000000027,0.0,257.10220000000027,0.0,ZERO
Base_v12,RE1,2039,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,380.5807999999992,0.0,380.5807999999992,0.0,ZERO
Base_v12,RE1,2039,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.900399999999994,0.0,20.900399999999994,0.0,ZERO
Base_v12,RE1,2039,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,254.39589999999993,0.0,254.39589999999993,0.0,ZERO
Base_v12,RE1,2040,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,379.44140000000027,0.0,379.44140000000027,0.0,ZERO
Base_v12,RE1,2040,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.932299999999966,0.0,20.932299999999966,0.0,ZERO
