run,region,year,technology,mode,account,value,unit
Base_v12,RE1,2047,ENV_LAND,4,barren_or_savannah,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2048,ENV_LAND,4,barren_or_savannah,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2049,ENV_LAND,4,barren_or_savannah,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2050,ENV_LAND,4,barren_or_savannah,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2051,ENV_LAND,4,barren_or_savannah,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2052,ENV_LAND,4,barren_or_savannah,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2053,ENV_LAND,4,barren_or_savannah,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2020,ENV_LAND,5,built_up_land,0.7698,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2021,ENV_LAND,5,built_up_land,0.7812,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2022,ENV_LAND,5,built_up_land,0.7926,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2023,ENV_LAND,5,built_up_land,0.804,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2024,ENV_LAND,5,built_up_land,0.8154,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2025,ENV_LAND,5,built_up_land,0.8268,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2026,ENV_LAND,5,built_up_land,0.8373,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2027,ENV_LAND,5,built_up_land,0.8479,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2028,ENV_LAND,5,built_up_land,0.8585,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2029,ENV_LAND,5,built_up_land,0.869,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2030,ENV_LAND,5,built_up_land,0.8796,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2031,ENV_LAND,5,built_up_land,0.8894,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2032,ENV_LAND,5,built_up_land,0.8992,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2033,ENV_LAND,5,built_up_land,0.9089,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2034,ENV_LAND,5,built_up_land,0.9187,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2035,ENV_LAND,5,built_up_land,0.9285,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2036,ENV_LAND,5,built_up_land,0.9373,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2037,ENV_LAND,5,built_up_land,0.9462,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2038,ENV_LAND,5,built_up_land,0.955,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2039,ENV_LAND,5,built_up_land,0.9638,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2040,ENV_LAND,5,built_up_land,0.9727,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2041,ENV_LAND,5,built_up_land,0.9805,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2042,ENV_LAND,5,built_up_land,0.9884,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2043,ENV_LAND,5,built_up_land,0.9963,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2044,ENV_LAND,5,built_up_land,1.0041,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2045,ENV_LAND,5,built_up_land,1.012,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2046,ENV_LAND,5,built_up_land,1.0187,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2047,ENV_LAND,5,built_up_land,1.0255,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2048,ENV_LAND,5,built_up_land,1.0323,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2049,ENV_LAND,5,built_up_land,1.039,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2050,ENV_LAND,5,built_up_land,1.0458,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2051,ENV_LAND,5,built_up_land,1.0458,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2052,ENV_LAND,5,built_up_land,1.0458,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2053,ENV_LAND,5,built_up_land,1.0458,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2020,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2021,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2022,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2023,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2024,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2025,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2026,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
