run,crop,year,demand_Mt,production_Mt,absolute_error_Mt,relative_error,status
PEP_v12,CRPOTH,2020,10.099485119999999,10.100100000000003,0.0006148800000040922,6.088231159293913e-05,PASS
PEP_v12,CRPOTH,2030,11.540270381614146,11.540400000000002,0.00012961838585567875,1.1231832666779246e-05,PASS
PEP_v12,CRPOTH,2050,13.720672196632867,13.720799999999997,0.0001278033671301415,9.314657860677205e-06,PASS
PEP_v12,CRPOTH,2053,13.720672196632867,13.720799999999997,0.0001278033671301415,9.314657860677205e-06,PASS
PEP_v12,CRPRCP,2020,19.29485551,19.295699999999997,0.0008444899999950906,4.376762497948815e-05,PASS
PEP_v12,CRPRCP,2030,22.047445678060225,22.047200000000004,-0.00024567806022091077,-1.1143152989617705e-05,PASS
PEP_v12,CRPRCP,2050,26.213057833002235,26.21299999999999,-5.7833002244933596e-05,-2.206266915267011e-06,PASS
PEP_v12,CRPRCP,2053,26.213057833002235,26.212999999999994,-5.783300224138088e-05,-2.2062669151314785e-06,PASS
PEP_v12,CRPSGC,2020,24.39894125,24.399599999999985,0.0006587499999852753,2.6999122348609092e-05,PASS
PEP_v12,CRPSGC,2030,27.879676607723805,27.8796,-7.660772380546632e-05,-2.747798150005903e-06,PASS
PEP_v12,CRPSGC,2050,33.14722194829609,33.14719999999999,-2.1948296101470532e-05,-6.621458695907024e-07,PASS
PEP_v12,CRPSGC,2053,33.14722194829609,33.14729999999999,7.80517038947437e-05,2.354698201149128e-06,PASS
PEP_v12,CRPTOM,2020,5.49826559,5.4996,0.0013344100000001191,0.00024269653369002117,PASS
PEP_v12,CRPTOM,2030,6.282644192709621,6.282600000000002,-4.4192709618862125e-05,-7.034093967973442e-06,PASS
PEP_v12,CRPTOM,2050,7.469677801794337,7.4694,-0.0002778017943363409,-3.719059934146135e-05,PASS
PEP_v12,CRPTOM,2053,7.469677801794337,7.4694,-0.0002778017943363409,-3.719059934146135e-05,PASS
