cache_filename,model_crop_code,gaez_crop,model_variable,gaez_name,input_level,water_supply,available_water_content,climate_model,pathway,time_period,source_unit,download_url,file_identifier,selection_table,selection_table_csv_line
CON yld Rain-fed Low.tif,CON,Coconut,yld,cocn200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200b_yld.tif,279737,GAEZ_yld_Low_Input.csv,35
MZE cwd Irrigation High.tif,MZE,Maize,cwd,maiz200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/maiz200a_wde.tif,324969,GAEZ_cwd_High_Input.csv,384
MZE cwd Irrigation Low.tif,MZE,Maize,cwd,maiz200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/maiz200a_wde.tif,277737,GAEZ_cwd_Low_Input.csv,76
MZE cwd Rain-fed High.tif,MZE,Maize,cwd,maiz200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/maiz200b_wde.tif,324518,GAEZ_cwd_High_Input.csv,385
MZE cwd Rain-fed Low.tif,MZE,Maize,cwd,maiz200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/maiz200b_wde.tif,277286,GAEZ_cwd_Low_Input.csv,77
MZE evt Irrigation High.tif,MZE,Maize,evt,maiz200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/maiz200a_eta.tif,324281,GAEZ_evt_High_Input.csv,384
MZE evt Irrigation Low.tif,MZE,Maize,evt,maiz200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/maiz200a_eta.tif,277049,GAEZ_evt_Low_Input.csv,76
MZE evt Rain-fed High.tif,MZE,Maize,evt,maiz200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/maiz200b_eta.tif,324905,GAEZ_evt_High_Input.csv,385
MZE evt Rain-fed Low.tif,MZE,Maize,evt,maiz200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/maiz200b_eta.tif,277673,GAEZ_evt_Low_Input.csv,77
MZE yld Irrigation High.tif,MZE,Maize,yld,maiz200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/maiz200a_yld.tif,328411,GAEZ_yld_High_Input.csv,384
